voter_id	voter_surname	voter_name
1	Bachna	Petr
2	Beèváø	Ivan
3	Bejèek	Josef
4	Benda	Marek
5	Bìlehrádek	Stanislav
6	Bílı	Jiøí
7	Blaek	Ladislav
8	Bláha	Jan
9	Body	Ladislav
10	Brodskı	Petr
11	Broulík	Jaroslav
12	Broík	František
13	Budinskı	Vladimír
14	Bumbová	Stanislava
15	Bureš	Eduard
16	Buzková	Petra
17	Èapek	Miroslav
18	Èechák	Vojtìch
19	Èelišová	Kvìtoslava
20	Èerbák	Miroslav
21	Èermák	Petr
22	Èernı	Jan
23	Èervinka	Josef
24	Èundrle	Václav
25	Decker	Jan
26	Dobal	Viktor
27	Dostál	Robert
28	Doubrava	Vlastimil
29	Drápela	Jiøí
30	Effenberger	Josef
31	Exner	Václav
32	Faifr	Jiøí
33	Fejfar	Ota
34	Fejfar	Tomáš
35	Fischerová	Eva
36	Frank	Václav
37	Frommer	Alfred
38	Gjuriè	Andrej
39	Gross	Stanislav
40	Grulich	Václav
41	Haringer	Jiøí
42	Hába	René
43	Hájek	Jiøí
44	Hájek	Josef
45	Hirš	Pavel
46	Hofhanzl	Èestmír
47	Holub	Josef
48	Honajzer	Jiøí
49	Hrazdíra	Antonín
50	Hrdı	Karel
51	Hubová	Marta
52	Hurta	Josef
53	Chudoba	Martin
54	Janeèek	Josef
55	Jaroš	Emil
56	Jegla	Jan
57	Jeek	Josef
58	Jeek	Tomáš
59	Kaèenka	František
60	Kadlecová	Milada
61	Kalus	Jaromír
62	Kalvoda	Jan
63	Karas	Jiøí
64	Kasal	Jan
65	Kašpárek	Miroslav
66	Kavan	Petr
67	Klas	Jan
68	Kluèka	Václav
69	Koháèek	Petr
70	Koláø	Pavel
71	Koláø	Robert
72	Koláøová	Milena
73	Koronthály	Vladimír
74	Kouckı	Jan
75	Kozák	Stanislav
76	Kozel	František
77	Kraus	Michal
78	Krámek	Jan
79	Krása	Václav
80	Krupík	Josef
81	Kryèer	Jan
82	Køíek	Josef
83	Kuba	Bohuslav
84	Kubiš	Josef
85	Kuchaø	Vlastislav
86	Kulièka	Pavel
87	Kuílek	Oldøich
88	Lagová	Hana
89	Ledvinka	Karel
90	Litomiskı	Jan
91	Lobkowicz	Michal
92	Lojdová	Kateøina
93	Loukota	Milan
94	Lukáš	Vìnceslav
95	Mach	Karel
96	Machalík	Jiøí
97	Macháèek	Jiøí
98	Mandelík	Richard
99	Mandík	Josef
100	Marvanová	Hana
101	Maryt	Jiøí
102	Mašek	Ivan
103	Matìjka	Jaroslav
104	Matoušková	Eva
105	Matulka	Dalibor
106	Mazalová	Gerta
107	Melichar	Jaroslav
108	Motyèka	Ludvík
109	Navrátil	Jan
110	Nájemník	Václav
111	Neèas	Petr
112	Nedorost	Ladislav
113	Nìmèík	Jindøich
114	Nìmec	Luboš
115	Novák	Jaroslav
116	Novák	Jiøí
117	Novák	Libor
118	Novák	Libor
119	Nováková	Eva
120	Novotnı	Miroslav
121	Opatøil	Rudolf
122	Orgoníková	Hana
123	Ortman	Jaroslav
124	Palas	Jaroslav
125	Pavela	Josef
126	Pavlíková	Jiøina
127	Payne	Jiøí
128	Páv	Tomáš
129	Pešek	Pavel
130	Petrílek	Pavel
131	Pìnièka	Stanislav
132	Pluhaø	František
133	Procházka	Vladimír
134	Pøibáò	Martin
135	Raška	Miroslav
136	Recman	Svatomír
137	Rubáš	Ludìk
138	Rymeš	Ladislav
139	Röschová	Anna
140	Øezáè	Vladimír
141	Øezníèek	Miroslav
142	Seifer	Pavel
143	Severa	Pavel
144	Skoèovskı	Miloš
145	Sochor	Antonín
146	Sochor	Vítìzslav
147	Sojka	Tomáš
148	Soural	Jaroslav
149	Stadler	Jiøí
150	Stiborová	Marie
151	Stodùlka	Zbyšek
152	Stráskı	Jan
153	Svoboda	Tomáš
154	Syka	Martin
155	Sıkora	Jaroslav
156	Šafaøík	Pavel
157	Šimánek	Jaromír
158	Šoler	Jiøí
159	Špaèek	Radim
160	Štambera	Dalibor
161	Štìrba	Tomáš
162	Štrait	Jaroslav
163	Šuman	Vladimír
164	Tlustı	Vlastimil
165	Tollner	Pavel
166	Tomanová	Hana
167	Trnka	František
168	Trojan	Václav
169	Trojan	Zdenìk
170	Tøebickı	Jan
171	Uhde	Milan
172	Ullmann	Josef
173	Unger	Jaroslav
174	Uøièáø	Jiøí
175	Vaèkáø	Jiøí
176	Valach	Vítìzslav
177	Valenta	Josef
178	Váca	Oldøich
179	Váchalová	Anna
180	Vik	Jan
181	Vlach	Jiøí
182	Vlèek	Jaroslav
183	Vlèek	Vlastimil
184	Vlèek	Zdenìk
185	Volák	Stanislav
186	Vorlíèek	Zdenìk
187	Votava	Vratislav
188	Vranı	Jan
189	Vrcha	Oldøich
190	Vrzal	Ivan
191	Vychodil	Otakar
192	Vyvadil	Jiøí
193	Vıbornı	Miloslav
194	Wagner	Jozef
195	Zahradníèek	Jan
196	Zeman	Eduard
197	Zemina	Ondøej
198	Zima	Anton
199	Zubek	Leopold
200	ika	Jaroslav
201	Lom	Petr
202	Janù	Ivana
203	Cisár	Vladimír
204	Èech	František
205	Honickı	Ivo
206	Brynychová	Ludmila
207	Bašta	Jaroslav
208	Èevela	Rostislav
209	Dostál	Pavel
210	Ekert	Milan
211	Emmerová	Milada
212	Gavlasová	Jana
213	Grégr	Miroslav
214	Hofman	Jiøí
215	Hojdar	Josef
216	Hulinskı	Petr
217	Chobot	František
218	Jièínskı	Zdenìk
219	Kapoun	Miroslav
220	Kopeckı	Robert
221	Koøínková	Kvìtoslava
222	Kostrhun	Jan
223	Kuèera	Miloslav
224	Kuneš	Michael
225	Kupèová	Jitka
226	Laštùvka	Vladimír
227	Macháèek	Antonín
228	Machovec	Karel
229	Maòásek	Jaroslav
230	Melèák	Miloš
231	Noveská	Marie
232	Polášek	Ludìk
233	Sehnalová	Olga
234	Schling	Jaromír
235	Skopal	Ladislav
236	Snítilı	Even
237	Sobotka	Bohuslav
238	Svoboda	Václav
239	Škromach	Zdenìk
240	Španbauer	František
241	Špidla	Vladimír
242	Štìpová	Vlasta
243	Šulák	Petr
244	Teplík	Tomáš
245	Tešnar	Dušan
246	Titz	Miloš
247	Tomíèek	Rudolf
248	Turek	Radim
249	Václavek	Jiøí
250	Vlèek	Miloslav
251	Zachardová	Jindøiška
252	Zaorálek	Lubomír
253	Zeman	Miloš
254	ika	Jan
255	Bartoš	Vladimír
256	Bartošková	Drahoslava
257	Baøinka	Vlastimil
258	Bøezina	Tomáš
259	Fójcik	Vavøinec
260	Frankl	Michal
261	Horníková	Zdeòka
262	Huml	Ondøej
263	Klaus	Václav
264	Koèárník	Ivan
265	Kvìták	Tomáš
266	Langer	Ivan
267	Nejezchleb	Karel
268	Novák	František
269	Pape	Jiøí
270	Pešán	Jaroslav
271	Marcová - Petrová	Jana
